position	link_query
96:6:1	كُلّ
96:6:2	إِنّ
96:8:1	إِنّ
96:11:2	إِنّ
96:13:2	إِنّ
96:15:1	كَلَّا
96:19:1	كَلَّا
68:3:1	إِنّ
68:4:1	إِنّ
68:7:1	إِنّ
68:15:3	عَلِيّ
68:34:1	إِنّ
68:38:1	إِنّ
68:38:4	لَمَّا
68:39:4	عَلِيّ
68:39:9	إِنّ
68:39:11	لَمَّا
68:41:6	إِنّ
68:45:3	إِنّ
68:51:1	إِنّ
68:51:7	لَمَّا
68:51:11	إِنّ
73:1:1	أَيُّهَا
73:4:3	عَلِيّ
73:5:1	إِنّ
73:5:3	عَلِيّ
73:6:1	إِنّ
73:7:1	إِنّ
73:12:1	إِنّ
73:12:2	دِين
73:15:1	إِنّ
73:17:3	إِنّ
73:19:1	إِنّ
74:1:1	أَيُّهَا
74:15:1	ثُمّ
74:16:1	كُلّ
74:16:2	إِنّ
74:18:1	إِنّ
74:20:1	ثُمّ
74:21:1	ثُمّ
74:22:1	ثُمّ
74:23:1	ثُمّ
74:24:2	إِنّ
74:25:1	إِنّ
74:30:1	عَلِيّ
74:32:1	كَلَّا
74:35:1	إِنّ
74:47:1	حَتَّىٰ
74:53:1	كَلَّا
74:54:1	كُلّ
74:54:2	إِنّ
1:5:1	إِيَّا
1:5:3	إِيَّا
1:7:4	عَلِيّ
1:7:7	عَلِيّ
81:9:1	أَىّ
81:19:1	إِنّ
81:21:2	ثُمّ
81:27:1	إِنّ
87:7:5	إِنّ
87:9:2	إِنّ
87:13:1	ثُمّ
87:18:1	إِنّ
92:4:1	إِنّ
92:12:1	إِنّ
92:12:2	عَلِيّ
92:13:1	إِنّ
89:13:2	عَلِيّ
89:16:6	عَلِيّ
89:17:1	كَلَّا
89:21:1	كُلّ
89:23:3	جَهَنَّم
89:27:1	أَيَّتُهَا
102:2:1	حَتَّىٰ
102:3:1	كَلَّا
102:4:1	ثُمّ
102:4:2	كَلَّا
102:5:1	كَلَّا
