string	surah_frequency
سفع	{'96': 577.8955223880597}
زبن	{'96': 577.8955223880597}
نمم	{'68': 119.13538461538461}
زنم	{'68': 119.13538461538461}
خرطم	{'68': 119.13538461538461}
زمل	{'73': 183.50236966824647}
بتل	{'73': 183.50236966824647}
غصص	{'73': 183.50236966824647}
كثب	{'73': 183.50236966824647}
هيل	{'73': 183.50236966824647}
دثر	{'74': 147.22053231939162}
قسر	{'74': 147.22053231939162}
جيد	{'111': 1489.1923076923078}
مسد	{'111': 1489.1923076923078}
كدر	{'81': 318.6748971193416}
وحش	{'81': 318.6748971193416}
واد	{'81': 318.6748971193416}
كشط	{'81': 318.6748971193416}
كنس	{'81': 318.6748971193416}
عسعس	{'81': 318.6748971193416}
ضنن	{'81': 318.6748971193416}
لظي	{'92': 450.22093023255815}
سوط	{'89': 264.2935153583618}
جمم	{'89': 264.2935153583618}
سجو	{'93': 717.0185185185185}
ضبح	{'100': 932.9879518072289}
قدح	{'100': 932.9879518072289}
نقع	{'100': 932.9879518072289}
كند	{'100': 932.9879518072289}
حصل	{'100': 932.9879518072289}
نحر	{'108': 2978.3846153846157}
بتر	{'108': 2978.3846153846157}
فيل	{'105': 1683.4347826086955}
وقب	{'113': 1720.8444444444444}
نفث	{'113': 1720.8444444444444}
صمد	{'112': 3226.583333333333}
كفا	{'112': 3226.583333333333}
قوب	{'53': 104.92953929539296}
قوس	{'53': 104.92953929539296}
ضيز	{'53': 104.92953929539296}
كدي	{'53': 104.92953929539296}
قني	{'53': 104.92953929539296}
سمد	{'53': 104.92953929539296}
قضب	{'80': 253.0653594771242}
ابب	{'80': 253.0653594771242}
صخخ	{'80': 253.0653594771242}
طحو	{'91': 493.2356687898089}
لهم	{'91': 493.2356687898089}
دسو	{'91': 493.2356687898089}
دمدم	{'91': 493.2356687898089}
تين	{'95': 1122.2898550724638}
شتو	{'106': 1888.7317073170732}
صيف	{'106': 1888.7317073170732}
حرك	{'75': 219.37110481586404}
ترق	{'75': 219.37110481586404}
مطو	{'75': 219.37110481586404}
سدي	{'75': 219.37110481586404}
كفت	{'77': 192.6318407960199}
شمخ	{'77': 192.6318407960199}
بسق	{'50': 101.6246719160105}
لفظ	{'50': 101.6246719160105}
حيد	{'50': 101.6246719160105}
كبد	{'90': 437.50282485875704}
شفه	{'90': 437.50282485875704}
نجد	{'90': 437.50282485875704}
سغب	{'90': 437.50282485875704}
دفق	{'86': 586.6515151515151}
هزل	{'86': 586.6515151515151}
همر	{'54': 107.10650069156294}
دسر	{'54': 107.10650069156294}
قعر	{'54': 107.10650069156294}
اشر	{'54': 107.10650069156294}
لوت	{'38': 49.863490019317446}
نوص	{'38': 49.863490019317446}
قطط	{'38': 49.863490019317446}
نعج	{'38': 49.863490019317446}
صفن	{'38': 49.863490019317446}
جود	{'38': 49.863490019317446}
رخو	{'38': 49.863490019317446}
ذام	{'7': 11.394643908181283}
ريش	{'7': 11.394643908181283}
حثث	{'7': 11.394643908181283}
نكد	{'7': 11.394643908181283}
سهل	{'7': 11.394643908181283}
قمل	{'7': 11.394643908181283}
ضفدع	{'7': 11.394643908181283}
جرر	{'7': 11.394643908181283}
شمت	{'7': 11.394643908181283}
سكت	{'7': 11.394643908181283}
بجس	{'7': 11.394643908181283}
نتق	{'7': 11.394643908181283}
لهث	{'7': 11.394643908181283}
صمت	{'7': 11.394643908181283}
حرس	{'72': 135.14485165794068}
هرب	{'72': 135.14485165794068}
حري	{'72': 135.14485165794068}
غدق	{'72': 135.14485165794068}
قمح	{'36': 51.69425901201602}
عرجن	{'36': 51.69425901201602}
مسخ	{'36': 51.69425901201602}
فلن	{'25': 41.949079089924155}
فسر	{'25': 41.949079089924155}
عبا	{'25': 41.949079089924155}
قطمر	{'35': 50.97959183673469}
شعل	{'19': 38.03438113948919}
حنن	{'19': 38.03438113948919}
مخض	{'19': 38.03438113948919}
ضدد	{'19': 38.03438113948919}
ازز	{'19': 38.03438113948919}
وفد	{'19': 38.03438113948919}
ادد	{'19': 38.03438113948919}
هدد	{'19': 38.03438113948919}
ركز	{'19': 38.03438113948919}
ثري	{'20': 27.363250883392226}
خلع	{'20': 27.363250883392226}
نعل	{'20': 27.363250883392226}
هشش	{'20': 27.363250883392226}
سحل	{'20': 27.363250883392226}
وني	{'20': 27.363250883392226}
لحي	{'20': 27.363250883392226}
زرق	{'20': 27.363250883392226}
صفصف	{'20': 27.363250883392226}
امت	{'20': 27.363250883392226}
